Limits Sentences,Generalized Limit Sentences
"One issue with the work described in [6][7] is that it
cannot incorporate speed into deciding if a trajectory is
anomalous; instead the judgement is based only on position",['A limitation: One issue with the work described in.']
"Another problem is that a pre-defined network may not
be applicable in many near-port regions due to the nature
of port traffic",['A limitation: Another problem is that a pre -.']
"One limitation of this work is that the labelling process
applied by the expert does not consider speed while our work
takes this into account",['A limitation: One limitation of this work is that.']
"Another limitation is that the experiments are
only conducted with data from Juan de Fuca Strait area and
as a result, more experiments in other regions should be
done to better illustrate the effectiveness of our approach",['A limitation: Another limitation is that the experiments are.']
"We think that our findings are useful for
practitioners wanting a benchmark for a TSCL problem, but there are always use cases for
different approaches",['A limitation: We think that our findings are useful.']
"We also observe that it does
better in problem domains where we would expect some phase shift within clusters, such as
ECG and electric device power usage problems",['A limitation: We also observe that it does \r\n.']
"2 describes the general TSCL
problem, provides a brief literature review and gives a detailed description of nine elastic
distance measures used in our experiments",['A limitation: 2 describes the general TSCL \r\n problem.']
"Given a dataset of n time
series, D, the partitional time series clustering problem is to partition D into k clusters,
C = {C1 , C2 ,",['A limitation: Given a dataset of n time \r\n.']
"To address this problem, forms of restart and selection are often employed","['A limitation: To address this problem , forms of.']"
Partitional clustering algorithms both suffer from the problem of initialising the clusters,['A limitation: Partitional clustering algorithms both suffer from the.']
"The initialisation problem is twofold: defining the accurate cluster numbers to be generated
from the given dataset and solving the problem of locating the position of initial centroids
[27]",['A limitation: The initialisation problem is twofold : defining.']
"The second
problem of finding the initial cluster centres is important because poor initial centres can lead
to convergence to local optima and worse clustering performance [70]",['A limitation: The second \r\n problem of finding the.']
"A drawback of this method is it has no
theoretical bases and as such random clusters have no internal homogeneity [5]",['A limitation: A drawback of this method is it.']
"Applying a bounding
constraint (represented by the darker squares in Fig",['A limitation: Applying a bounding \r\n constraint ( represented.']
"The Longest Common Subsequence (LCSS) distance for time
series is derived from a solution to the problem of finding the longest common subsequence
between two discrete series through edit operations",['A limitation: The Longest Common Subsequence ( LCSS ).']
"Dynamic time warping with barycentre
averaging (DBA) [55] (see Algorithm 7) was proposed to overcome this limitation in the
context of DTW",['A limitation: [ 55 ] ( see Algorithm 7.']
"This
is an inherent problem with attempting to evaluate exploratory, unsupervised algorithms by
comparing them with what we know to be true a priori: if a clustering simply finds what we
already know, its utility is limited",['A limitation: This \r\n is an inherent problem with.']
"There are further problems with using the UCR data for algorithm analysis (see [26]):
many of the data have been preprocessed with expert knowledge; the train/test sets have
been hand crafted in some instances; there are no missing values in the data we use; all data
are sampled at the same frequency; and the train sets are relatively small and the types of
problem represent the research interests of the contributors",['A limitation: There are further problems with using the.']
"It is not a perfect model of the
real world, nor representative of the type of problem faced by many data scientists in practice",['A limitation: It is not a perfect model of.']
"
|y|
1  1, yi = s( ŷi )
CL-ACC(y, ŷ) = max
s∈Sk |y|
0, otherwise
i=1

(18)

Checking every permutation like this is prohibitively expensive, however, and can be done
more efficiently using combinatorial optimisation algorithms for the assignment problem",['A limitation: \x08 \r\n |y| \r\n 1 \x06 1.']
"The issue of whether to always normalise is an
open question for TSC, since some discriminatory features may be in the scale or variance",['A limitation: The issue of whether to always normalise.']
"The issue
is less clear cut with clustering, which is used more as an exploratory tool than a predictive
model",['A limitation: The issue \r\n is less clear cut.']
"On the other hand, clustering using the alternating
k-medoids clusterer algorithm is known to suffer from the initialisation problem [27] (see
Sect","['A limitation: On the other hand , clustering using.']"
"3 k-means DBA
Using medoids mitigates the problem of averaging centres with k-means",['A limitation: Using medoids mitigates the problem of averaging.']
"Finally, the datasets have been classified as coming from different problem types","['A limitation: Finally , the datasets have been classified.']"
"However, breaking down by
problem type can yield insights","['A limitation: However , breaking down by \r\n problem.']"
"Tables 11 and 12 show the breakdown of ranks by these
problem types",['A limitation: Tables 11 and 12 show the breakdown.']
