Funding Sentences,Funding Sources
"Such power plants are
stakeholders are supported by the efficient exchange of data,
services, and transactions",[]
"Sponsored by BC Hydro and funded jointly by the British Columbia government’s Innovative Clean Energy (ICE)
Fund and the Canadian government’s Western Diversification Fund, BCIT’s smart microgrid enables utility providers,
IEEE power & energy magazine

Authorized licensed use limited to: Halmstad University","['BC Hydro', 'Innovative Clean Energy', 'Western Diversification Fund', 'BCIT', 'IEEE power & energy', 'Halmstad University']"
"This manuscript has been authored by UT-Battelle, LLC based upon work supported by the US Department of Energy, Office of Electricity
under contract number DE-AC05-00OR22725","['UT-Battelle', 'LLC', 'the US Department of Energy, Office of Electricity']"
"ACKNOWLEDGMENT

This manuscript has been authored by UT-Battelle, LLC
based upon work supported by the US Department of Energy, Office of Electricity under contract number DE-AC0500OR22725","['UT-Battelle', 'LLC', 'the US Department of Energy, Office of Electricity']"
Wang’s work was supported by the U,['Wang']
Wan was supported by the Hundred Talents Program of Zhejiang University,['the Hundred Talents Program of Zhejiang University']
"This new policy is supported by the government’s aim of becoming
a leading nation in environmental and energy sustainability through green
innovation",[]
"This work
was supported by the Secretariat of Education, Libya",['the Secretariat of Education']
"The weak components need to be supported by a
redundant unit to substitute the broken parts in observing critical fail­
ures",[]
"Acknowledgement
The research leading to these results has been conducted within the
NOVIMAR project (NOVel Iwt and MARitime transport concepts) and
received funding from the European Union Horizon 2020 Program
under grant agreement n◦ 723009","['NOVel Iwt', 'MARitime', 'the European Union Horizon']"
"Inland Waterway Network Mapping of AIS Data for Freight Transportation Planning
Asborno, Hernandez, Mitchell, and Yves

23

FINANCIAL SUPPORT AND DISCLAIMER
This material is based upon work supported by the U","['AIS Data for Freight Transportation Planning\r\n', 'DISCLAIMER']"
"Department of Transportation
under Grant Award Number 69A3551747130",['Department of Transportation']
"Acknowledgements
This work was supported by the California Solar Initiative RD&D program","['the California Solar Initiative', 'RD&D']"
"ACKNOWLEDGMENT
This research is funded by the Australian Government
through the Australian Research Council (ARC) under grants
LP160100630 and LP150100671","['the Australian Government', 'the Australian Research Council', 'ARC']"
